business_name,city,reason
Milan Laser Hair Removal,Portland ME,national chain (on exclusion list)
Laser Skin Solutions / Advanced Clinical Aesthetics,Portland OR,"wrong geography - Portland Oregon, not Maine (971 area code)"
Prime Med Spa PDX,Portland OR,"wrong geography - Portland Oregon, not Maine"
Chris Medical Aesthetics,Portland ME,"appears under 2 years old - domain created 2024-12, no earlier founding evidence"
Beauty Bar Med Aesthetics,Falmouth MA,Falmouth Massachusetts not Falmouth Maine - deferred to MA region
Baskin Aesthetics,Portland ME,"third-party managed - site says 'Managed by Coria', contact email on lumairemedicine.com domain"
Auburn Med Spa,Auburn AL,"wrong geography - Auburn Alabama (334 area code), not Auburn Maine"
Maine Skin / Skin Farm,Lewiston ME,"esthetician-run facials and skincare only, no injectables or laser"
Your Best Skin of Maine,Lewiston ME,permanently closed
Skin Clique,Lewiston ME,"national at-home mobile injector network, no fixed clinic address"
MaineGeneral Plastic Surgery (Botox clinic),Augusta ME,hospital/health-system owned cosmetic department
Confident Med Spa,South Portland ME,6 clinics across NH and ME - exceeds 4 locations and spans multiple states
Skin Health Medi Spa (Dover Skin Health),Kittery ME,part of Dermatology & Skin Health derm network; NH+ME multi-state locations
Optima Dermatology,Scarborough ME,multi-state PE-backed dermatology network
Sky's Med Spa,Windham ME,domain no longer resolves; could not verify 2+ years
Bangor Plastic & Hand Surgery,Bangor ME,"same entity as Surface Aesthetics already listed - deduped, not a separate prospect"
About Face Medical Aesthetics,Stratham NH,"branded 'A Well Labs+ Medspa', site copyright held by Well Labs+ - part of a group"
MD Esthetics,Nashua NH,"PE-backed by New Harbor Capital; 12-30+ locations across MA, NH, VA"
Couture Med Spa,Nashua NH,"6 locations, five in Florida plus Nashua - multi-state chain"
Concord MedSpa,Concord NH,"5 locations (Concord, Manchester, Gilford, Keene, Plymouth) - exceeds 4"
The Olive Branch Med Spa,Concord NH,"domain created 2025-10, under 2 years old"
Transcend Aesthetics,Concord NH,"domain created 2024-09, under 2 years; website now returns 404"
VIO Med Spa Newton,Newton MA,national franchise brand
Newton Beauty,Newton MA,"domain created 2024-11, under 2 years; no earlier founding evidence"
Aida Medical Aesthetics,Brookline MA,"domain created 2025-05, under 2 years"
Greta Hall Aesthetics,Hingham MA,"domain created 2025-08, under 2 years"
Laser MD Medspa,Danvers MA,"Boston-area chain - Boston, Braintree, Danvers, Peabody and more locations"
Level Up Med Spa,Andover MA,site returns 403; could not verify ownership or independence
DeluxeBar,Duxbury MA,site_blocked and research stopped before owner/phone verified - not qualified
Fresh Medical Aesthetics,Hingham MA,site_blocked and research stopped before owner/phone verified - not qualified
Hingham Medical Aesthetics,Hingham MA,research stopped before verification - not qualified
Coastal Plastic Surgery,Hingham MA,research stopped before verification - not qualified
